Title,Author,Publication Date,Location,URL,Anger[0],Anger[1],Anger[2],Anger[3],Anger[4],Disgust[0],Disgust[1],Disgust[2],Disgust[3],Disgust[4],Fear[0],Fear[1],Fear[2],Fear[3],Fear[4],Joy[0],Joy[1],Joy[2],Joy[3],Joy[4],Sadness[0],Sadness[1],Sadness[2],Sadness[3],Sadness[4]
The Prince and Betty,P. G. Wodehouse,1912,United Kingdom,http://www.loyalbooks.com/download/text/Prince-and-Betty.txt,0.135532,0.126023,0.154191,0.154367,0.127751,0.085892,0.090368,0.115297,0.125036,0.095758,0.110089,0.105826,0.137967,0.161321,0.149291,0.586331,0.543082,0.537037,0.564511,0.545929,0.608259,0.531299,0.181908,0.484935,0.517468,
The Land That Time Forgot,Edgar Rice Burroughs,1924,United States,http://www.loyalbooks.com/download/text/The-Land-That-Time-Forgot-by-Edgar-Rice-Burroughs.txt,0.155564,0.128792,0.14351,0.123027,0.153449,0.106837,0.092888,0.135192,0.173938,0.119807,0.169748,0.162943,0.473164,0.582194,0.59571,0.589612,0.540804,0.572502,0.436139,0.529171,0.537485,0.561939,0.553326,0.613833,0.530464,
The King of Ireland's Son,Padraic Colum,1916,Ireland,http://www.loyalbooks.com/download/text/King-of-Irelands-Son-by-Padraic-Colum.txt,0.150852,0.136566,0.179255,0.118971,0.115478,0.12629,0.173886,0.13426,0.102798,0.146603,0.136954,0.145055,0.54114,0.133547,0.176087,0.579044,0.525584,0.514075,0.557736,0.578754,0.568946,0.512725,0.487841,0.503853,0.442119,
Dracula's Guest and Other Weird Stories,Bram Stoker,1914,United Kingdom,http://www.loyalbooks.com/download/text/Draculas-Guest.txt,0.163955,0.160582,0.155765,0.450474,0.159527,0.170234,0.129301,0.136789,0.127779,0.101118,0.525122,0.518249,0.580479,0.174187,0.561239,0.538301,0.595777,0.59064,0.512553,0.482678,0.220998,0.494944,0.539867,0.570131,0.246108,
David Elginbrod,George MacDonald,1863,United Kingdom,http://www.loyalbooks.com/download/text/David-Elginbrod-by-George-Macdonald.txt,0.100421,0.131983,0.145525,0.093182,0.089002,0.091396,0.486218,0.105127,0.093957,0.06706,0.105444,0.121559,0.156695,0.115783,0.125551,0.635806,0.608745,0.576894,0.586096,0.599096,0.481143,0.5427,0.505483,0.619514,0.515864,
The Way of All Flesh,Samuel Butler,1903,United Kingdom,http://www.loyalbooks.com/download/text/The-Way-of-All-Flesh-by-Samuel-Butler.txt,0.12837,0.111457,0.150737,0.151425,0.137367,0.099939,0.105498,0.119951,0.116304,0.091136,0.108399,0.104423,0.509124,0.481982,0.186937,0.594051,0.646412,0.526417,0.570161,0.577569,0.510279,0.540794,0.517375,0.542623,0.547712,
The Son of Tarzan,Edgar Rice Burroughs,1915,United States,http://www.loyalbooks.com/download/text/Son-of-Tarzan-by-Edgar-Rice-Burroughs.txt,0.167283,0.129957,0.52589,0.135661,0.142013,0.142308,0.137803,0.176097,0.131358,0.451778,0.182308,0.155467,0.184105,0.179719,0.138609,0.482558,0.577466,0.56056,0.571112,0.527163,0.587376,0.583995,0.536355,0.521037,0.573163,
Beyond Good and Evil,Friedrich Nietzsche,1886,Germany,http://www.loyalbooks.com/download/text/Beyond-Good-and-Evil-by-Friedrich-Nietzsche.txt,0.148911,0.100963,0.126479,0.128997,0.1525,0.100418,0.077675,0.092681,0.069645,0.104706,0.131313,0.084052,0.464048,0.09152,0.105944,0.583109,0.582647,0.604596,0.624721,0.607163,0.531273,0.522972,0.201286,0.526712,0.545152,
The Scarlet Letter,Nathaniel Hawthorne,1850,United States,http://www.loyalbooks.com/download/text/The-Scarlet-Letter-by-Nathaniel-Hawthorne.txt,0.090386,0.141639,0.111145,0.12672,0.113453,0.101052,0.16474,0.125762,0.134144,0.118751,0.104155,0.155627,0.134872,0.160981,0.122948,0.58792,0.559836,0.602308,0.621568,0.584484,0.463015,0.554703,0.543993,0.54924,0.553012,
The Sleeper Awakes,H. G. Wells,1899,United Kingdom,http://www.loyalbooks.com/download/text/The-Sleeper-Awakes-by-Hg-Wells.txt,0.153219,0.141207,0.146726,0.115873,0.138563,0.135909,0.164259,0.514481,0.140288,0.145108,0.145591,0.190593,0.563376,0.172426,0.545662,0.588578,0.617661,0.5306,0.604772,0.553575,0.551822,0.550547,0.568579,0.232933,0.51414,
Ozma of Oz,L. Frank Baum,1907,United States,http://www.loyalbooks.com/download/text/Ozma-of-Oz-by-L-Frank-Baum.txt,0.13672,0.56896,0.132528,0.467798,0.121434,0.085284,0.131723,0.098235,0.116475,0.118236,0.115842,0.566039,0.138553,0.134801,0.1251,0.594808,0.517595,0.58092,0.606961,0.625888,0.191322,0.532814,0.544941,0.495149,0.542468,
The Pirates of Zan,Murray Leinster,1959,United States,http://www.loyalbooks.com/download/text/Pirates-of-Ersatz.txt,0.123905,0.542549,0.2142,0.118415,0.14163,0.116401,0.123629,0.133399,0.094013,0.116151,0.140093,0.157175,0.149179,0.130984,0.117821,0.569979,0.556029,0.543023,0.474145,0.505673,0.519044,0.557908,0.486184,0.489752,0.543239,
Right Ho Jeeves,P. G. Wodehouse,1934,United Kingdom,http://www.loyalbooks.com/download/text/Right-Ho-Jeeves-by-P-G-Wodehouse.txt,0.155544,0.501046,0.157831,0.113632,0.163288,0.464926,0.134665,0.129615,0.086802,0.106741,0.114841,0.154631,0.519259,0.154044,0.114313,0.573892,0.564043,0.583942,0.537016,0.545352,0.57682,0.561419,0.580355,0.220741,0.211685,
The Princess and Curdie,George MacDonald,1883,United Kingdom,http://www.loyalbooks.com/download/text/The-Princess-and-Curdie-by-George-Macdonald.txt,0.170414,0.113321,0.119303,0.151611,0.194755,0.107637,0.128767,0.484191,0.121583,0.48533,0.606652,0.460018,0.585099,0.540401,0.583265,0.586315,0.571069,0.611348,0.534254,0.195264,0.519911,0.547059,0.532718,0.542323,0.531304,
The People That Time Forgot,Edgar Rice Burroughs,1963,United States,http://www.loyalbooks.com/download/text/The-People-That-Time-Forgot-by-Edgar-Rice-Burroughs.txt,0.09882,0.098338,0.12421,0.127975,0.120044,0.127289,0.117425,0.444224,0.104212,0.117123,0.434042,0.480754,0.601399,0.1492,0.534532,0.556087,0.60474,0.604649,0.578847,0.507483,0.550447,0.569357,0.594603,0.555556,0.588984,
Pamela; or Virtue Rewarded,Samuel Richardson,1740,England,http://www.loyalbooks.com/download/text/Pamela-by-Samuel-Richardson.txt,0.134247,0.099757,0.607366,0.102514,0.127615,0.120048,0.090029,0.648196,0.081151,0.120266,0.567425,0.488711,0.121428,0.095673,0.501511,0.567464,0.596398,0.588847,0.698138,0.610331,0.58617,0.597471,0.542931,0.52261,0.5069,
The Prince,Niccolò Machiavelli,1532,Italy,http://www.loyalbooks.com/download/text/The-Prince-by-Niccolo-Machiavelli.txt,0.11912,0.162656,0.225582,0.444462,0.103914,0.081881,0.109328,0.4296,0.109907,0.0937,0.111319,0.181583,0.562586,0.150033,0.122211,0.580127,0.572288,0.444837,0.523697,0.654943,0.55496,0.537196,0.600977,0.212553,0.536225,
Youth,Leo Tolstoy,1857,Russia,http://www.loyalbooks.com/download/text/Youth-Leo-Tolstoy.txt,0.120895,0.113146,0.162487,0.607575,0.110973,0.088685,0.104148,0.116541,0.130673,0.074704,0.157472,0.589471,0.099154,0.119314,0.129621,0.588192,0.504562,0.59594,0.590303,0.640621,0.574425,0.546297,0.543971,0.55139,0.561077,
The Jungle Book,Rudyard Kipling,1894,United Kingdom,http://www.loyalbooks.com/download/text/The-Jungle-Book-by-Rudyard-Kipling.txt,0.538786,0.490471,0.179644,0.515595,0.162684,0.14856,0.459627,0.480657,0.584038,0.106049,0.158708,0.156607,0.156049,0.17065,0.182017,0.582886,0.576405,0.545516,0.56864,0.566085,0.500298,0.572405,0.524695,0.58445,0.510694,
The Natural History and Antiquities of Selborne,Gilbert White,1789,England,http://www.loyalbooks.com/download/text/The-Natural-History-of-Selborne-by-Gilbert-White.txt,0.161559,0.123055,0.056787,0.104292,0.106339,0.124811,0.463582,0.086859,0.133702,0.483773,0.13832,0.169054,0.098096,0.164574,0.12649,0.591123,0.559225,0.591199,0.58267,0.551512,0.560064,0.521092,0.165064,0.530125,0.49057,
The Golden Bough,James George Frazer,1890,United Kingdom,http://www.loyalbooks.com/download/text/The-Golden-Bough-by-Sir-James-Frazer.txt,0.073306,0.128126,0.14631,0.126089,0.148289,0.074575,0.147423,0.128353,0.125709,0.155981,0.09523,0.085066,0.125121,0.126286,0.125576,0.661152,0.576291,0.546894,0.589285,0.561971,0.140115,0.497725,0.577885,0.571602,0.576354,
Little Dorrit,Charles Dickens,1855,England,http://www.loyalbooks.com/download/text/Little-Dorrit-by-Charles-Dickens.txt,0.138025,0.156899,0.134801,0.150953,0.184226,0.103439,0.118675,0.105704,0.101114,0.143864,0.144285,0.169841,0.129249,0.104369,0.172064,0.552807,0.568715,0.566297,0.568372,0.443521,0.482929,0.544956,0.514602,0.517245,0.574468,
Mansfield Park,Jane Austen,1814,United Kingdom,http://www.loyalbooks.com/download/text/Mansfield-Park-by-Jane-Austen.txt,0.532929,0.107306,0.126043,0.144237,0.107526,0.085177,0.111329,0.084521,0.105185,0.096153,0.139174,0.135458,0.156607,0.580065,0.143636,0.604519,0.589746,0.568472,0.551325,0.611716,0.584393,0.630443,0.550621,0.550138,0.512163,
Night and Day,Virginia Woolf,1919,United Kingdom,http://www.loyalbooks.com/download/text/Night-and-Day-by-Virginia-Woolf.txt,0.168198,0.143996,0.152332,0.127849,0.144043,0.107876,0.097847,0.116835,0.122789,0.140432,0.497309,0.10969,0.148027,0.145335,0.12766,0.58387,0.590679,0.610125,0.597029,0.564962,0.495306,0.583604,0.572683,0.511491,0.52832,
The Seven Lamps of Architecture,John Ruskin,1849,United Kingdom,http://www.loyalbooks.com/download/text/Seven-Lamps-of-Architecture-by-John-Ruskin.txt,0.132962,0.0934,0.120576,0.09967,0.089748,0.102192,0.07236,0.102961,0.073589,0.089774,0.068287,0.06802,0.099258,0.101273,0.109399,0.607581,0.574118,0.5382,0.59464,0.631893,0.445847,0.505741,0.560158,0.458563,0.146818,
Psmith in the City,P. G. Wodehouse,1910,United Kingdom,http://www.loyalbooks.com/download/text/Psmith-in-the-City-by-Pg-Wodehouse.txt,0.121244,0.161016,0.114115,0.166411,0.157298,0.084096,0.120912,0.120469,0.131374,0.123187,0.12002,0.130439,0.150426,0.545638,0.686729,0.534679,0.497012,0.546898,0.543631,0.591146,0.473402,0.583103,0.525727,0.510947,0.209786,
The Land of Little Rain,Mary Hunter Austin,1903,United States,http://www.loyalbooks.com/download/text/Land-of-Little-Rain-by-Mary-Hunter-Austin-2.txt,0.128397,0.152098,0.140158,0.13281,0.120374,0.092386,0.153795,0.140138,0.106024,0.111295,0.619601,0.121305,0.442048,0.136658,0.1391,0.584238,0.563326,0.545381,0.617189,0.618048,0.565943,0.521866,0.245663,0.534235,0.529726,
Jill the Reckless,P. G. Wodehouse,1920,United States,http://www.loyalbooks.com/download/text/Jill-the-Reckless.txt,0.17136,0.518813,0.126788,0.124708,0.534896,0.132528,0.146232,0.68416,0.116222,0.129494,0.616451,0.129798,0.109381,0.13782,0.159206,0.561526,0.526611,0.57568,0.591789,0.498182,0.475446,0.567486,0.50938,0.19413,0.605261,
A Horse's Tale,Mark Twain,1907,United States,http://www.loyalbooks.com/download/text/Horses-Tale-Mark-Twain.txt,0.136562,0.136994,0.121048,0.163649,0.119699,0.104973,0.128059,0.089707,0.48277,0.468575,0.143925,0.132747,0.114506,0.674237,0.44323,0.607179,0.572604,0.64066,0.571861,0.605574,0.232236,0.460751,0.500288,0.515008,0.579852,
The Turn of the Screw,Henry James,1898,United States United Kingdom,http://www.loyalbooks.com/download/text/The-Turn-of-the-Screw-by-Henry-James.txt,0.136629,0.160376,0.148203,0.130032,0.175538,0.111814,0.107602,0.121326,0.125036,0.138625,0.603078,0.173915,0.538961,0.575858,0.182433,0.529108,0.554809,0.51908,0.536271,0.501574,0.577496,0.580158,0.58201,0.523242,0.593777,
The Old Man in the Corner,Baroness Orczy,1908,United Kingdom,http://www.loyalbooks.com/download/text/The-Old-Man-in-the-Corner-by-Baroness-Orczy.txt,0.151581,0.200721,0.14213,0.476157,0.190373,0.105308,0.159519,0.138851,0.175302,0.481647,0.139399,0.184816,0.597482,0.145231,0.163844,0.555304,0.483738,0.534202,0.533169,0.490847,0.490245,0.559232,0.457861,0.604877,0.529579,
American Fairy Tales,L. Frank Baum,1901,United States,http://www.loyalbooks.com/download/text/American-Fairy-Tales.txt,0.14781,0.185087,0.48897,0.133131,0.172643,0.128353,0.151566,0.171006,0.151395,0.159412,0.1541,0.574998,0.615759,0.116341,0.134613,0.544695,0.557608,0.46131,0.603328,0.619926,0.551358,0.567657,0.603738,0.605465,0.204889,
A Dog of Flanders,Marie Louise de la Ramée,1872,UK,http://www.loyalbooks.com/download/text/Dog-of-Flanders.txt,0.103724,0.093235,0.10539,0.103962,0.104386,0.12067,0.079139,0.090837,0.099171,0.508093,0.112419,0.11423,0.151964,0.160035,0.168114,0.624095,0.653657,0.602888,0.617401,0.603039,0.588571,0.545287,0.564393,0.596978,0.607346,
The Fortunes and Misfortunes of the Famous Moll Flanders,Daniel Defoe,1722,England,http://www.loyalbooks.com/download/text/Moll-Flanders-by-Daniel-Defoe.txt,0.164906,0.522838,0.166945,0.163158,0.181703,0.109058,0.517429,0.143202,0.475979,0.114085,0.109389,0.434857,0.15002,0.558919,0.164139,0.600857,0.577513,0.518548,0.560369,0.13972,0.459512,0.502135,0.515939,0.530945,0.608719,
The Coral Island,R. M. Ballantyne,1858,null,http://www.loyalbooks.com/download/text/The-Coral-Island-by-R-M-Ballantyne.txt,0.109349,0.136123,0.135351,0.157519,0.542399,0.111579,0.141722,0.068306,0.146841,0.137826,0.145978,0.190768,0.604112,0.13826,0.439209,0.626048,0.538198,0.644765,0.54787,0.518264,0.519977,0.581652,0.559072,0.526304,0.574069,
Northanger Abbey,Jane Austen,1817,United Kingdom,http://www.loyalbooks.com/download/text/Northanger-Abbey-by-Jane-Austen.txt,0.133701,0.145856,0.149934,0.129293,0.128423,0.080177,0.101158,0.093664,0.094816,0.452216,0.089777,0.179974,0.593106,0.519215,0.1422,0.640381,0.554631,0.61968,0.592001,0.609668,0.548927,0.547466,0.578893,0.542888,0.583545,
A Dog's Tale,Mark Twain,1904,United States,http://www.loyalbooks.com/download/text/A-Dogs-Tale-by-Mark-Twain.txt,0.141468,0.081143,0.11478,0.534296,0.41871,0.411171,0.079481,0.064791,0.11457,0.113284,0.130979,0.091184,0.588195,0.625208,0.564431,0.588232,0.665617,0.65382,0.534279,0.625146,0.428253,0.556298,0.594474,0.610769,0.578154,
Mother Goose in Prose,L. Frank Baum,1897,United States,http://www.loyalbooks.com/download/text/Mother-Goose-in-Prose-by-L-Frank-Baum.txt,0.186528,0.154246,0.13704,0.134289,0.086718,0.129939,0.106962,0.134426,0.564617,0.102821,0.112196,0.091737,0.146639,0.129537,0.131049,0.613382,0.65112,0.625451,0.627791,0.680905,0.5195,0.523446,0.489388,0.546087,0.50568,
The Mayor of Casterbridge,Thomas Hardy,1886,United Kingdom,http://www.loyalbooks.com/download/text/The-Mayor-of-Casterbridge-by-Thomas-Hardy.txt,0.122364,0.129217,0.155923,0.161136,0.543546,0.127476,0.105978,0.521559,0.144237,0.151746,0.133175,0.175865,0.134507,0.148624,0.130556,0.573708,0.605516,0.557882,0.508567,0.533457,0.542647,0.565248,0.585869,0.523517,0.51533,
Democracy: An American Novel,Henry Adams,1880,United States,http://www.loyalbooks.com/download/text/Democracy-An-American-Novel.txt,0.108338,0.153194,0.143906,0.586443,0.176602,0.122055,0.119912,0.130205,0.104234,0.100764,0.113108,0.112915,0.123724,0.120204,0.130093,0.582242,0.541962,0.525913,0.557088,0.542165,0.507304,0.531464,0.507772,0.570685,0.554799,
The Picture of Dorian Gray,Oscar Wilde,1890,null,http://www.loyalbooks.com/download/text/Picture-of-Dorian-Gray.txt,0.125275,0.507072,0.124612,0.533256,0.121252,0.10186,0.141644,0.405962,0.123197,0.095807,0.095151,0.658306,0.133745,0.465912,0.602883,0.652317,0.568473,0.569026,0.582768,0.626733,0.545659,0.511448,0.58764,0.535578,0.585318,
The Eustace Diamonds,Anthony Trollope,1871,United Kingdom,http://www.loyalbooks.com/download/text/The-Eustace-Diamonds-by-Anthony-Trollope.txt,0.112062,0.183245,0.117345,0.160467,0.104259,0.14424,0.155977,0.115387,0.152332,0.0876,0.097888,0.153175,0.098456,0.146587,0.097534,0.624167,0.574078,0.634949,0.523296,0.633192,0.188546,0.476548,0.478655,0.497926,0.507215,
O Pioneers!,Willa Cather,1913,United States,http://www.loyalbooks.com/download/text/O-Pioneers-by-Willa-Cather.txt,0.120091,0.131811,0.129468,0.124088,0.130951,0.110752,0.10556,0.133032,0.519522,0.134264,0.603695,0.125141,0.533284,0.147916,0.548446,0.518319,0.586391,0.532392,0.578058,0.554922,0.560062,0.508312,0.560314,0.540681,0.565427,
The Art of War,(trad.) Sun Tzu,null,China,http://www.loyalbooks.com/download/text/The-Art-of-War-by-Sun-Tzu-2.txt,0.110326,0.065867,0.11417,0.108021,0.10954,0.039437,0.052569,0.072354,0.076667,0.073432,0.128092,0.076474,0.102781,0.118121,0.103462,0.4931,0.528865,0.086356,0.48295,0.114794,0.135243,0.100938,0.512083,0.48117,0.1149,
Thuvia Maid of Mars,Edgar Rice Burroughs,1916,United States,http://www.loyalbooks.com/download/text/Thuvia-Maid-of-Mars-by-Edgar-Rice-Burroughs.txt,0.108602,0.126073,0.486731,0.069111,0.098192,0.144764,0.460579,0.159076,0.097086,0.104532,0.604831,0.49017,0.112124,0.114971,0.131686,0.578144,0.603292,0.561254,0.593422,0.551795,0.56174,0.517589,0.527011,0.567681,0.151233,
What the Dog Saw: And Other Adventures,Malcolm Gladwell,2009,United States,http://www.loyalbooks.com/download/text/Adventures-of-a-Dog.txt,0.119084,0.125072,0.134116,0.108227,0.086516,0.081401,0.462938,0.469566,0.110324,0.068456,0.138313,0.170596,0.150851,0.540381,0.527431,0.625206,0.636926,0.580299,0.576974,0.548006,0.545453,0.218099,0.51889,0.546643,0.536478,
A New System of Domestic Cookery: Formed Upon Principles of Economy; and Adapted to the Use of Private Families,Mrs Rundell,1806,England,http://www.loyalbooks.com/download/text/Domestic-Cookery-by-Elizabeth-E-Lea.txt,0.484273,0.138616,0.190074,0.160313,0.163443,0.193757,0.129677,0.505806,0.163969,0.16201,0.073488,0.066394,0.110181,0.138039,0.055467,0.541608,0.612439,0.555408,0.519059,0.651559,0.182573,0.175948,0.196681,0.496085,0.144917,
Devotions upon Emergent Occasions,null,1624,Kingdom of England,http://www.loyalbooks.com/download/text/Devotions-Upon-Emergent-Occasions-by-John-Donne.txt,0.105196,0.125352,0.089128,0.077562,0.136896,0.082688,0.095989,0.442985,0.047782,0.122011,0.090472,0.5111,0.053849,0.506131,0.182073,0.644956,0.592282,0.531621,0.53209,0.536798,0.578844,0.518762,0.136965,0.552548,0.630722,
The Adventures of Tom Sawyer,Mark Twain,1876,United States,http://www.loyalbooks.com/download/text/Tom-Sawyer-by-Mark-Twain.txt,0.103177,0.142577,0.143188,0.50522,0.160979,0.115003,0.118346,0.452999,0.125607,0.462627,0.55774,0.576026,0.156833,0.142441,0.487787,0.608458,0.540545,0.502051,0.585082,0.170084,0.167926,0.58171,0.601063,0.53367,0.561668,
The Big Time,Fritz Leiber,1958,United States,http://www.loyalbooks.com/download/text/Big-Time-by-Fritz-Leiber.txt,0.152086,0.163939,0.462703,0.14318,0.526151,0.081208,0.129581,0.112348,0.114223,0.136872,0.537275,0.184581,0.490585,0.21073,0.581509,0.559954,0.560325,0.542294,0.531626,0.530579,0.509844,0.53849,0.513198,0.543588,0.537405,
1906 San Francisco earthquake,null,null,null,http://www.loyalbooks.com/download/text/San-Francisco-Calamity-by-Earthquake-and-Fire.txt,0.480554,0.176162,0.122322,0.148844,0.134096,0.125599,0.176242,0.120575,0.125638,0.111926,0.527209,0.132552,0.62964,0.547492,0.521758,0.547901,0.559933,0.492593,0.213382,0.494624,0.528821,0.572628,0.600309,0.563189,0.537669,
The Three Musketeers,null,1844,France,http://www.loyalbooks.com/download/text/The-Three-Musketeers-by-Alexandre-Dumas.txt,0.149989,0.106485,0.471931,0.146486,0.145768,0.13054,0.078824,0.469531,0.10492,0.14815,0.119041,0.115015,0.142641,0.132233,0.12489,0.520429,0.64187,0.61086,0.595359,0.595719,0.207885,0.579591,0.531876,0.529479,0.59481,
Paradise Lost,John Milton,1667,England,http://www.loyalbooks.com/download/text/Paradise-Lost-by-John-Milton.txt,0.539504,0.530466,0.167934,0.120406,0.507435,0.069287,0.086533,0.098974,0.111746,0.143221,0.521805,0.103512,0.145632,0.13691,0.121064,0.610664,0.66484,0.66722,0.643371,0.566302,0.56436,0.561976,0.182183,0.607181,0.570564,
The Gilded Age: A Tale of Today,Mark Twain Charles Dudley Warner,1873,United States,http://www.loyalbooks.com/download/text/Gilded-Age-a-Tale-of-Today.txt,0.479267,0.130881,0.171162,0.116955,0.155763,0.162353,0.159204,0.12107,0.095061,0.131661,0.43163,0.122943,0.103156,0.525842,0.127789,0.527846,0.612335,0.589879,0.594372,0.528622,0.520524,0.530055,0.459254,0.59607,0.488955,
Rainbow Valley,Lucy Maud Montgomery,1919,Canada,http://www.loyalbooks.com/download/text/Rainbow-Valley.txt,0.133631,0.153999,0.139922,0.143329,0.153124,0.12491,0.113276,0.12715,0.582394,0.107038,0.085517,0.167361,0.167149,0.164457,0.202713,0.560266,0.5617,0.581419,0.573763,0.552572,0.53093,0.522739,0.524798,0.541307,0.571763,
A Room with a View,E. M. Forster,1908,United Kingdom,http://www.loyalbooks.com/download/text/A-Room-With-a-View-by-Em-Forster.txt,0.424574,0.173356,0.128886,0.125676,0.166056,0.116788,0.480705,0.117997,0.496852,0.120925,0.487731,0.633411,0.106666,0.175404,0.173902,0.612113,0.488156,0.571302,0.542662,0.544884,0.552043,0.569407,0.470327,0.532137,0.568088,
Roughing It,Mark Twain,1872,United States,http://www.loyalbooks.com/download/text/Roughing-It.txt,0.120212,0.113145,0.159306,0.163505,0.160231,0.126364,0.12629,0.10208,0.082596,0.112504,0.122932,0.106101,0.181174,0.606144,0.142268,0.610023,0.614252,0.513868,0.505443,0.581579,0.505197,0.199484,0.509871,0.559347,0.53565,
Jane Eyre,Charlotte Brontë,1847,United Kingdom,http://www.loyalbooks.com/download/text/Jane-Eyre-version-3-by-Charlotte-Bronte.txt,0.54246,0.150537,0.139708,0.142566,0.13321,0.136382,0.546569,0.106231,0.446969,0.128158,0.135473,0.195783,0.541569,0.520301,0.127151,0.532283,0.559691,0.597411,0.548411,0.629564,0.616512,0.531571,0.587005,0.540524,0.516835,
The Cynic's Word Book,Ambrose Bierce,1906,Great Britain (first British edition),http://www.loyalbooks.com/download/text/The-Devils-Dictionary-by-Ambrose-Bierce.txt,0.132737,0.52244,0.497038,0.121876,0.135671,0.483714,0.113221,0.138056,0.510984,0.105145,0.137139,0.09606,0.130908,0.113497,0.117449,0.602518,0.584844,0.547287,0.595189,0.555515,0.535023,0.507087,0.556365,0.484829,0.534025,
The Wood Beyond the World,William Morris,1894,United Kingdom,http://www.loyalbooks.com/download/text/The-Wood-Beyond-the-World-by-William-Morris.txt,0.114743,0.110144,0.123102,0.094733,0.15229,0.083144,0.109357,0.139729,0.092604,0.458448,0.15444,0.539784,0.578807,0.583674,0.582977,0.606353,0.608268,0.59985,0.617051,0.614373,0.56646,0.530286,0.542565,0.524985,0.511422,
Roosevelt–Rondon Scientific Expedition,null,null,null,http://www.loyalbooks.com/download/text/Through-the-Brazilian-Wilderness-by-Theodore-Roosevelt.txt,0.175031,0.164715,0.170453,0.082077,0.120896,0.131775,0.134107,0.117834,0.098432,0.101485,0.156503,0.154617,0.457889,0.151116,0.558056,0.543151,0.547204,0.521952,0.60833,0.597919,0.253873,0.617939,0.552173,0.492697,0.550336,
Life on the Mississippi,Mark Twain,1883,United States and England,http://www.loyalbooks.com/download/text/Life-on-the-Mississippi-by-Mark-Twain.txt,0.200216,0.128319,0.173756,0.133134,0.162541,0.180739,0.154254,0.174959,0.125816,0.136133,0.159247,0.14129,0.485104,0.110569,0.14654,0.512514,0.526711,0.524903,0.570698,0.561295,0.54547,0.538157,0.567486,0.510226,0.560522,
Sky Island,L. Frank Baum,1912,United States,http://www.loyalbooks.com/download/text/Sky-Island-by-L-Frank-Baum.txt,0.13652,0.464666,0.166132,0.1712,0.130591,0.098932,0.1107,0.124635,0.113699,0.085302,0.088509,0.129033,0.128647,0.184048,0.619115,0.631234,0.598174,0.565225,0.604544,0.633888,0.162572,0.245492,0.643451,0.446094,0.462754,
Alexander's Bridge,Willa Cather,1912,United States,http://www.loyalbooks.com/download/text/Alexanders-Bridge-by-Willa-Sibert-Cather.txt,0.119197,0.107368,0.134968,0.114918,0.129454,0.125987,0.091176,0.114058,0.080758,0.080186,0.493951,0.133278,0.165292,0.114052,0.111858,0.597904,0.624846,0.606528,0.594511,0.59857,0.510841,0.219303,0.550386,0.539682,0.57608,
Wives and Daughters,Elizabeth Gaskell,1864,England,http://www.loyalbooks.com/download/text/Wives-and-Daughters-by-Elizabeth-Gaskell.txt,0.1123,0.128775,0.119977,0.15935,0.131704,0.143439,0.094673,0.092327,0.111464,0.119494,0.137038,0.563495,0.144635,0.131585,0.105415,0.602012,0.586161,0.538181,0.569709,0.595394,0.530455,0.532529,0.617068,0.55759,0.480173,
On Liberty,John Stuart Mill,1859,United Kingdom,http://www.loyalbooks.com/download/text/On-Liberty-by-John-Stuart-Mill.txt,0.112157,0.245454,0.12895,0.192009,0.180708,0.104878,0.159288,0.107825,0.548631,0.119717,0.112002,0.132028,0.126477,0.108806,0.139885,0.591198,0.52176,0.58535,0.570414,0.524062,0.455315,0.545491,0.553617,0.203365,0.233503,
Michael Strogoff,Jules Verne,1876,France,http://www.loyalbooks.com/download/text/Michael-Strogoff-by-Jules-Verne.txt,0.16396,0.170124,0.155702,0.123002,0.137326,0.107431,0.126992,0.126657,0.125397,0.119635,0.574936,0.514889,0.443894,0.478664,0.160452,0.577848,0.500066,0.518594,0.559789,0.51628,0.245309,0.598844,0.501199,0.545238,0.617099,
Don Quixote,Miguel de Cervantes,1612,Spain,http://www.loyalbooks.com/download/text/Don-Quixote-vol-1-by-Miguel-De-Cervantes-Saavedra.txt,0.109025,0.137928,0.164231,0.170774,0.138086,0.121268,0.082373,0.123937,0.09099,0.091957,0.101979,0.128748,0.123065,0.139214,0.120993,0.627363,0.639046,0.605168,0.625204,0.641531,0.485752,0.519624,0.543797,0.566144,0.575414,
The Europeans,Henry James,1878,United Kingdom United States,http://www.loyalbooks.com/download/text/The-Europeans-by-Henry-James.txt,0.156834,0.115959,0.108262,0.14794,0.140345,0.139598,0.090796,0.553294,0.095815,0.110611,0.143408,0.102147,0.13962,0.13255,0.104064,0.581347,0.644173,0.621645,0.611541,0.614179,0.484343,0.56321,0.583743,0.554403,0.501947,
Anthem,Ayn Rand,1938,null,http://www.loyalbooks.com/download/text/Anthem-by-Ayn-Rand.txt,0.130307,0.499691,0.080873,0.162527,0.436429,0.126235,0.137566,0.103736,0.558325,0.090551,0.503894,0.142723,0.121888,0.541688,0.158219,0.499539,0.553957,0.616467,0.579552,0.553553,0.554017,0.568916,0.485737,0.622785,0.568706,
Chamber Music,James Joyce,1907,Ireland,http://www.loyalbooks.com/download/text/Chamber-Music-by-James-Joyce.txt,0.070537,0.067849,0.073624,0.092696,0.068181,0.029035,0.050022,0.056614,0.069377,0.056034,0.132113,0.10354,0.103379,0.11886,0.52989,0.798023,0.693793,0.696777,0.67972,0.639242,0.132342,0.550338,0.472167,0.575862,0.567926,
